adress,area,floor,?,price,rooms,floors_total,year,latitude,longitude
"Россия, Санкт-Петербург, улица Добровольцев, 40к2",97.0,1/5,6141,7100000,4,5,1970,59.831377,30.168032
"Россия, Ленинградская область, Всеволожский район, Мурино, улица Шоссе в Лаврики, 34к2",41.0,9/14,3976,4300000,1,14,2013,60.052196,30.453813
"Россия, Санкт-Петербург, Пушкинский район, посёлок Шушары, территория Славянка, Ростовская улица",56.7,2/9,5867,5450000,2,9,2012,59.740316,30.470324
"Россия, Санкт-Петербург, улица Дыбенко",54.8,6/9,3857,5000000,3,9,1970,59.904302,30.47213
"Россия, Санкт-Петербург, Кузнецовская улица, 15",53.0,4/5,2802,8400000,2,5,1956,59.871432,30.316102
"Россия, Санкт-Петербург, Кирочная улица, 57",72.0,6/9,6983,15997000,2,10,2016,59.94079,30.383871
"Россия, Санкт-Петербург, улица Коли Томчака, 23",146.0,4/8,3781,26700000,4,8,1938,59.885359,30.323854
"Россия, Санкт-Петербург, проспект Художников, 15А",46.0,9/9,2551,5050000,2,9,1974,60.039535,30.347183
"Россия, Санкт-Петербург, Русановская улица, 17к3",42.3,3/19,3289,4200000,1,23,2013,59.863224,30.511755
"Россия, Санкт-Петербург, Пушкин, улица Архитектора Данини, 5",50.0,5/10,3735,5100000,1,10,2014,59.69529,30.418411
"Россия, Санкт-Петербург, Бассейная улица, 75",58.1,5/5,5481,10000000,3,5,1962,59.863549,30.343644
"Россия, Санкт-Петербург, Большой проспект Петроградской стороны, 45",75.0,4/6,5324,15000000,3,,,59.960994,30.304675
"Россия, Санкт-Петербург, проспект Ветеранов, 151к1",65.8,7/9,6283,6000000,3,,,59.83584,30.132468
"Россия, Санкт-Петербург, Колпино, Загородная улица, 43к2",43.6,4/5,4272,3500000,2,3,1960,59.773959,30.596637
"Россия, Санкт-Петербург, 14-я линия Васильевского острова, 7",66.0,2/6,4401,7250000,2,,,59.935205,30.274653
"Россия, Санкт-Петербург, Среднерогатская улица, 20",22.9,17/17,4108,3105000,0,18,2019,59.820282,30.3382
"Россия, Ленинградская область, Всеволожский район, Мурино, Охтинская аллея, 14",36.7,7/24,598,4200000,1,25,2015,60.049644,30.42858
"Россия, Санкт-Петербург, Дунайский проспект, 68",42.0,3/12,2345,5400000,1,12,1982,59.846459,30.425247
"Россия, Санкт-Петербург, посёлок Парголово, Парашютная улица",85.6,9/19,3046,7100000,3,19,2014,60.063464,30.211843
"Россия, Санкт-Петербург, Ленинский проспект, 82к3",59.0,14/23,829,7200000,2,23,2011,59.859162,30.197425
"Россия, Санкт-Петербург, Ломоносов, улица Красного Флота, 1",83.0,4/4,7002,5300000,4,4,1939,59.911985,29.783877
"Россия, Санкт-Петербург, улица Ворошилова, 33к1",45.0,10/22,264,5700000,1,22,2013,59.932351,30.46577
"Россия, Санкт-Петербург, Комендантский проспект, 67",37.0,9/14,1378,4000000,1,25,2017,60.03771,30.225578
"Россия, Санкт-Петербург, улица Десантников, 28",50.0,4/9,747,4580000,2,9,1978,59.84998,30.200228
