area,floor,price,rooms,floors_total,year,latitude,longitude
40.0,25,4100000,1,27,2015,60.077431000000004,30.345189
95.0,17,7800000,4,18,2015,60.032016000000006,30.456212
34.8,11,3850000,1,23,2016,60.056714,30.421968
26.0,11,2800000,0,27,2017,60.039373,30.453912
39.0,3,5400000,1,10,2017,59.978818000000004,30.370144
87.8,8,18299000,3,8,2016,59.939951,30.250812
105.0,13,13500000,3,13,1998,60.018228,30.248773
64.2,5,7780000,2,5,1959,59.98983199999999,30.299329999999998
107.1,12,15400000,3,16,2009,59.917362,30.446896000000002
48.2,3,6700000,1,6,0,59.840849,30.312383
191.6,4,20000000,4,7,1999,59.93328,30.23917
63.0,5,5390000,3,9,1972,60.049333999999995,30.384328999999997
69.0,6,10650000,2,15,2010,59.960485,30.418896000000004
67.5,4,6825000,2,4,1955,59.960003,30.490231
62.7,3,6495000,2,21,2017,60.053952,30.327196
46.2,10,5180000,1,18,2009,59.93800400000001,30.482802000000003
64.3,22,7310000,2,25,2017,60.053952,30.327196
34.0,15,4550000,1,25,2014,59.909856000000005,30.455727000000003
40.0,3,7200000,1,9,2018,59.961688,30.282496000000002
21.0,3,3000000,0,4,2013,60.050367,30.449789000000003
36.0,16,3800000,1,18,2016,60.02843299999999,30.459311
22.2,9,3200000,0,27,2017,60.080932,30.333035
80.3,5,13900000,3,5,1956,59.929605,30.244021000000004
61.0,8,7700000,2,16,2010,59.838091000000006,30.36903
81.0,6,9800000,3,6,1970,59.93135899999999,30.240868
37.4,2,5200000,1,25,2016,59.831485,30.370576
52.0,3,6200000,2,12,1988,60.011922999999996,30.253003999999997
98.6,4,21000000,3,9,2018,59.959435,30.259220000000003
35.0,15,4699000,1,18,2010,59.859361,30.19182
48.0,6,5500000,1,10,2000,59.83150799999999,30.513803000000003
41.6,5,4500000,1,17,2012,59.939094999999995,30.315868
38.7,3,5950000,1,7,2017,60.058475,30.275965000000003
58.0,4,5200000,3,9,1982,59.937238,30.487509000000003
29.8,1,2800000,1,5,1970,59.825253000000004,30.161295000000003
95.4,5,9990000,3,5,2014,60.028783999999995,30.142528999999996
73.3,5,8990000,3,5,0,60.008527,30.354684000000002
60.0,2,11490000,2,5,1906,59.965106000000006,30.297426
98.0,13,8200000,3,15,2016,59.915440000000004,30.435084000000003
56.7,5,6599000,2,5,1955,59.884663,30.271967
62.0,5,5700000,2,5,1981,59.869620999999995,29.85868
300.0,6,45000000,7,6,1913,59.93552,30.370028
76.0,15,12360000,3,19,2017,60.035351,30.225614
35.0,3,3600000,1,9,1969,59.838108999999996,30.17936
40.0,3,7700000,2,4,1917,59.916591000000004,30.298296999999998
36.0,14,4999000,1,15,2013,59.913143999999996,30.449996000000002
59.8,2,12000000,2,5,0,59.930313,30.245925
303.0,4,27900000,7,7,1908,59.944215,30.350371999999997
76.0,2,8500000,3,4,1949,59.951496999999996,30.415258
35.3,1,4290000,1,19,2017,60.042415000000005,30.224715999999997
25.4,10,2800000,0,12,2016,59.838249,30.114439
72.3,4,7600000,3,9,1978,59.991592000000004,30.427187
68.3,3,7150000,3,6,1907,59.911795999999995,30.310846999999995
52.4,2,4788000,2,16,1982,59.944323,30.471402
46.0,10,5800000,1,17,2008,59.851783,30.365626000000002
24.2,7,3375000,0,11,2017,60.042415000000005,30.224715999999997
75.5,15,8510000,2,25,2017,60.053952,30.327196
69.4,2,5200000,5,4,1904,59.907722,30.343104999999998
44.0,2,3100000,2,5,1960,59.745948,30.610767
173.0,4,25000000,7,4,1802,59.943192,30.343436999999998
53.0,4,8200000,2,7,1951,59.85886899999999,30.315688
41.6,1,3950000,2,5,1964,59.958309,30.425651000000002
168.7,2,58000000,4,7,2005,59.97390600000001,30.260540999999996
31.8,1,3490000,1,9,1970,59.909507999999995,30.241478999999998
51.3,3,5070000,2,9,1980,59.925615,30.484302000000003
65.2,5,8900000,2,5,1900,59.96390400000001,30.302402
144.5,6,18500000,4,6,1904,59.944152,30.357917999999998
52.0,9,5500000,3,9,1969,59.864674,30.385711999999998
70.0,13,6480000,3,15,1983,59.947433,30.491408000000003
52.0,4,5000000,2,10,2000,59.860721,30.506840999999998
105.3,3,7700000,3,18,2015,60.065741,30.457281
46.5,2,5650000,1,14,2005,59.982838,30.393311999999998
33.0,13,4650000,1,15,2014,59.916284,30.439548
133.3,3,16000000,4,18,2004,59.951912,30.216666999999998
