area,floor,floors_total,latitude,longitude,price,rooms,year
36.0,18,21,60.041099,30.221608000000003,4690000,1,0
80.1,3,9,59.740316,30.470324,5800000,3,0
71.9,5,9,59.860771,30.505583,6150000,3,0
179.0,2,5,59.920672,30.341793,19880000,5,0
90.0,4,5,59.756469,30.370962,10990000,3,0
105.9,1,6,59.947978000000006,30.341371,10000000,3,0
50.0,4,6,59.96156600000001,30.310936,8600000,2,0
26.0,18,22,60.052092,30.423711,3150000,0,0
44.7,3,9,59.923572,30.368348,9500000,1,0
45.0,4,5,60.032097,30.345270000000006,4600000,2,0
71.4,11,12,60.051886,30.330556,7900000,3,0
77.0,7,9,59.94079,30.383871000000006,17997000,2,0
80.0,2,5,59.929596,30.245018,11780000,3,0
112.0,3,10,59.969304,30.287984,38390000,2,0
40.0,3,12,59.98465600000001,30.269605,4950000,1,0
51.3,5,16,59.843932,30.389153000000004,6750000,2,0
41.6,3,18,59.849071,30.134328000000004,5000000,1,0
61.0,8,12,59.954232,30.469866,6115000,2,0
42.0,3,5,59.93002900000001,30.357065,9000000,1,0
155.1,9,10,59.959233,30.27221,29546550,4,0
45.4,5,5,59.879728,30.465078,3600000,2,0
100.5,14,16,59.78709300000001,30.207423,8200000,3,0
135.3,6,8,59.939767,30.353184,32314471,3,0
150.0,18,25,59.853812,30.349699,26950000,4,0
54.4,7,25,60.053952,30.327196,6235000,2,0
43.0,24,25,60.041112,30.409994,5800000,1,0
100.5,13,18,60.01119,30.386736,13990000,3,0
169.3,5,5,59.93763000000001,30.360065,21000000,5,0
42.5,9,11,59.963539,30.273171,7800000,1,0
93.0,11,17,60.03543199999999,30.446277,9000000,4,0
108.3,4,5,59.927225,30.329064,14550000,4,0
62.4,8,9,59.826044,30.397875,5600000,3,0
50.7,4,9,60.009336,30.251082,7190000,2,0
98.0,8,14,59.920717,30.444336,11200000,3,0
46.0,4,5,59.878888,30.475616,4450000,2,0
123.1,5,13,59.957584,30.405511,26300000,3,0
57.6,5,9,59.940046,30.491677000000006,6812000,3,0
42.0,5,5,59.930944,30.427942,4700000,2,0
44.0,5,18,60.058349,30.272228,4900000,1,0
39.7,1,5,59.964223,30.309966,8100000,1,0
65.9,4,12,59.98465600000001,30.269605,8000000,3,0
58.0,4,5,59.87440400000001,30.264916,5700000,2,0
50.4,11,18,59.82459300000001,30.337419,6200000,2,0
44.0,24,24,60.028105,30.247138,5650000,1,0
48.8,1,5,59.844294,30.233924,4800000,4,0
52.0,10,16,60.029058,30.29403,6000000,1,0
58.0,1,9,59.844931,30.381454,5900000,3,0
49.1,5,5,59.841532,30.233385,4380000,4,0
40.7,20,25,60.053952,30.327196,4620000,1,0
34.0,8,26,59.86102800000001,30.191595,4200000,1,0
35.0,9,12,60.009615,30.203435,4270000,1,0
35.8,8,16,60.06029399999999,30.424403,3500000,1,0
54.6,5,5,59.898192,30.428328000000004,8650000,2,0
84.0,1,5,59.919861,30.277977000000003,8200000,5,0
68.0,3,9,59.885386,30.431041,5800000,3,0
154.8,6,9,59.964822,30.326271,26000500,4,0
53.9,3,23,59.826302,30.332478,7690000,2,0
51.6,3,6,59.96155200000001,30.322866,6700000,3,0
21.5,7,19,59.938658,30.205582,3300000,0,0
90.3,11,23,59.864851,30.511108,7700000,3,0
25.0,7,12,59.842264,30.306355,3600000,0,0
32.5,7,12,60.04211,30.333448,4000000,1,0
66.0,3,9,60.044689,30.365536,6300000,3,0
61.4,3,9,60.043565,30.340069,6500000,3,0
180.6,10,10,60.03349,30.296339,16501000,3,0
38.3,5,16,60.041629,30.373495,5500000,1,0
31.0,1,5,59.856076,30.301432,3480000,1,0
33.9,5,25,60.053952,30.327196,3880000,1,0
